,German,中文,Example
311,ehrgeizig,有野心的,Sie ist sehr ehrgeizig und strebt immer nach Höherem.
312,ansonsten,否则,"Mach deine Hausaufgaben, ansonsten darfst du nicht fernsehen."
313,"die Pflegekraft, Pflegekräfte (feminine)",护理人员,Die Pflegekraft kümmerte sich liebevoll um die Patienten.
314,eventuell,可能,Wir könnten eventuell morgen ins Kino gehen.
315,ergeben,产生,Die Berechnungen ergeben ein erstaunliches Ergebnis.
316,"sich umdrehen (dreht um, drehte um, hat sich umgedreht)",转身,Sie drehte sich um und sah ihn an.
317,"zurufen (ruft zu, rief zu, hat zugerufen)",呼喊,"Er rief ihr zu, dass er später kommen würde."
318,"herunterkommen (kommt herunter, kam herunter, ist heruntergekommen)",下来,"Komm bitte herunter, das Essen ist fertig."
319,entsetzt,震惊,Sie war entsetzt über die Nachricht.
320,aufdringlich,冒昧,Er fand ihre aufdringlichen Fragen unangenehm.
321,intim,亲密,Sie teilte ihm intime Details aus ihrem Leben mit.
322,"hochlaufen (läuft hoch, lief hoch, ist hochgelaufen)",爬上,Die Kinder laufen hoch zum Spielplatz.
323,verlockend,诱人,Die Aussicht von dort oben ist sehr verlockend.
324,"hinzufügen (fügt hinzu, fügte hinzu, hat hinzugefügt)",添加,Bitte fügen Sie die Zutaten hinzu und rühren Sie um.
325,nebenbei,顺便,"Nebenbei bemerkt, ich finde deine Idee interessant."
326,"durchstarten (durchstartet, durchstartete, ist durchgestartet)",开始,Er durchstartete seine Karriere als Musiker.
327,zuversichtlich,自信,"Sie ist zuversichtlich, dass sie die Prüfung bestehen wird."
328,ergänzten,补充,Die zusätzlichen Informationen ergänzten den Bericht.
329,"aufsetzen (setzt auf, setzte auf, hat aufgesetzt)",戴上,Sie setzte die Brille auf und konnte besser sehen.
330,innerhalb,在…内,Die Lieferung kommt innerhalb von drei Tagen an.
331,"Kampagne, Kampagnen (feminine)",活动,Die Kampagne zur Umweltschutz ist sehr wichtig.
332,"zurücklehnen (lehnt zurück, lehnte zurück, hat zurückgelehnt)",向后靠,Er lehnte sich zurück und entspannte sich auf dem Sofa.
333,"kündigen (kündigt, kündigte, hat gekündigt)",辞职,Er hat gestern seinen Job gekündigt.
334,"Einnahme, Einnahmen (feminine)",收入,Die Einnahmen des Unternehmens sind gestiegen.
335,Schämen,羞愧,Er schämte sich für sein unhöfliches Verhalten.
336,abhaken,勾掉,"Nachdem ich die Aufgabe erledigt hatte, konnte ich sie abhaken."
337,"Schwägerin, Schwägerinnen (feminine)",嫂子,Meine Schwägerin ist sehr nett zu mir.
338,der Lauf,经过,Im Laufe des Tages werde ich noch einkaufen gehen.
339,"die Berechnung, Berechnungen (feminine)",计算,Die Berechnungen für das Projekt sind abgeschlossen.
340,"die Erbschaft, Erbschaften (feminine)",遗产,Sie hat eine große Erbschaft von ihrer Großmutter erhalten.
341,"sich abdecken (deckt ab, deckte ab, hat abgedeckt)",遮盖,Bitte decken Sie sich während des Regens ab.
342,das Geschrei,尖叫,Das Geschrei der Kinder war im ganzen Haus zu hören.
343,beschuldigen,指责,Er beschuldigte seinen Kollegen des Diebstahls.
344,"anlachen (lacht an, lachte an, hat angelacht)",对...笑,Sie lachte ihn freundlich an.
345,bedrohen,威胁,Der Sturm bedroht die Küste.
346,"schlagen (schlägt, schlug, hat geschlagen)",打,Er schlägt den Ball hart ins Tor.
347,"die Faust, Fäuste (feminine)",拳头,Er ballte seine Faust vor Wut.
348,"ablassen (lässt ab, ließ ab, hat abgelassen)",停止,Können Sie bitte den Wasserhahn ablassen?
349,die Handschellen (plural),手铐,Der Polizist legte dem Verdächtigen Handschellen an.
350,"abführen (führt ab, führte ab, hat abgeführt)",带走,Die Polizei führte den Dieb ab.
351,"der Rettungssanitäter, Rettungssanitäter (masculine)",救护员,Die Rettungssanitäter eilten zum Unfallort.
352,meinetwegen,就我而言,Meinetwegen können wir gerne ins Kino gehen.
353,zusammengeschlagen,殴打,Er wurde auf der Straße zusammengeschlagen.
354,bis dahin,直到那时,Bis dahin werden wir den Auftrag abgeschlossen haben.
355,sich beugen zu,弯腰,"Sie musste sich beugen, um die Schuhe zu binden."
356,halb so schlimm,没那么糟,"Mach dir keine Sorgen, es ist halb so schlimm."
357,versichern,安慰,"er versicherte ihr, dass alles okay sei."
358,in Haft sein,被关押,Der Dieb ist seit gestern in Haft.
359,sich wenden an,求助于,Sie können sich bei Fragen an mich wenden.
360,"das Aufputschmittel, Aufputschmittel (neuter)",兴奋剂,Die Verwendung von Aufputschmitteln im Sport ist verboten.
361,das Wunder,奇迹,Das medizinische Team nannte das Überleben des Patienten ein Wunder.
362,"das Protokoll, Protokolle (neuter)",记录,Bitte führen Sie ein Protokoll über das Treffen.
363,Anzeige erstatten,报案,"Er wird Anzeige erstatten, nachdem sein Fahrrad gestohlen wurde."
364,nichts Ernsthaftes,没什么严重的,Der Arzt fand nichts Ernsthaftes bei der Untersuchung.
365,"eindringen (dringt ein, drang ein, ist eingedrungen)",侵入,Ein Einbrecher ist in das Haus eingedrungen.
366,mitsamt,连同,"Er nahm alle Dokumente mit, mitsamt seiner Tasche."
367,"die Hypothek, Hypotheken (feminine)",抵押,Sie hat eine Hypothek auf ihr Haus aufgenommen.
368,"einfallen (fällt ein, fiel ein, ist eingefallen)",想起,"Mir fällt einfach nicht ein, wo ich mein Handy hingelegt habe."
